Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"KEY[5..0]","Bidirectional","03 DISPLAY&KEY","4","MAIN","","500","120","4D","(3)"
"KEY[5..0]","Bidirectional","02 MCU","3","MAIN","","660","70","3D","(4)"
"BEEP","Bidirectional","03 DISPLAY&KEY","4","MAIN","R21.1","90","670","5B","(3)"
"BEEP","Bidirectional","02 MCU","3","MAIN","U1.90","600","170","4D","(4)"
"OLED_SCL","Bidirectional","03 DISPLAY&KEY","4","MAIN","J5.10","420","230","4D","(3)"
"OLED_SCL","Bidirectional","02 MCU","3","MAIN","U1.86","600","210","4D","(4)"
"OLED_SDA","Bidirectional","03 DISPLAY&KEY","4","MAIN","J5.9","420","220","4D","(3)"
"OLED_SDA","Bidirectional","02 MCU","3","MAIN","U1.87","600","200","4D","(4)"
"LED0","Bidirectional","03 DISPLAY&KEY","4","MAIN","J5.7","420","200","4D","(3)"
"LED0","Bidirectional","02 MCU","3","MAIN","U1.92","600","150","4D","(4)"
"LED1","Bidirectional","03 DISPLAY&KEY","4","MAIN","J5.8","420","210","4D","(3)"
"LED1","Bidirectional","02 MCU","3","MAIN","U1.91","600","160","4D","(4)"
"A4988_EN","OffPage","04 MOTOR","5","MAIN","R33.1,SW1.8,U6.2","150","360","5C","(3)"
"A4988_EN","OffPage","02 MCU","3","MAIN","U1.46","110","530","5C","(5)"
"REED_OUT[5..0]","OffPage","04 MOTOR","5","MAIN","","460","770","4B","(3)"
"REED_OUT[5..0]","OffPage","02 MCU","3","MAIN","","700","280","3C","(5)"
"WORK_VOLT","OffPage","05 POWER","6","MAIN","C29.1,R47.1,R48.2","110","470","5C","(3)"
"WORK_VOLT","OffPage","02 MCU","3","MAIN","U1.16","110","220","5D","(6)"
"A4988_SENSE1","OffPage","04 MOTOR","5","MAIN","R23.2,U6.23","230","130","5D","(3)"
"A4988_SENSE1","OffPage","02 MCU","3","MAIN","U1.18","110","240","5D","(5)"
"A4988_SENSE2","OffPage","04 MOTOR","5","MAIN","R24.2,U6.27","230","140","5D","(3)"
"A4988_SENSE2","OffPage","02 MCU","3","MAIN","U1.19","110","250","5D","(5)"
"SYS_RESET#","OffPage","02 MCU","3","MAIN","J1.15,R10.2,TP1.1,U1.52,U4.7","1280","540","2C","(3)"
"SYS_RESET#","OffPage","02 MCU","3","MAIN","J1.15,R10.2,TP1.1,U1.52,U4.7","1030","180","2D","(3)"
"CTL_HEATER_1","OffPage","05 POWER","6","MAIN","R45.1","920","240","3D","(3)"
"CTL_HEATER_1","OffPage","02 MCU","3","MAIN","U1.4","110","100","5D","(6)"
"A4988_SLEEP","OffPage","04 MOTOR","5","MAIN","R35.1,R36.1,U6.14","490","420","4C","(3)"
"A4988_SLEEP","OffPage","02 MCU","3","MAIN","U1.43","110","500","5C","(5)"
"A4988_RESET","OffPage","04 MOTOR","5","MAIN","U6.12","490","430","4C","(3)"
"A4988_RESET","OffPage","02 MCU","3","MAIN","U1.42","110","490","5C","(5)"
"A4988_STEP","OffPage","04 MOTOR","5","MAIN","U6.16","500","340","4C","(3)"
"A4988_STEP","OffPage","02 MCU","3","MAIN","U1.44","110","510","5C","(5)"
"A4988_DIR","OffPage","04 MOTOR","5","MAIN","U6.19","500","310","4C","(3)"
"A4988_DIR","OffPage","02 MCU","3","MAIN","U1.45","110","520","5C","(5)"
"A4988_REF","OffPage","04 MOTOR","5","MAIN","R26.2","670","290","3C","(3)"
"A4988_REF","OffPage","02 MCU","3","MAIN","U1.27","110","340","5C","(5)"
